county_id,unemployment_rate,icu_beds_count,hospitals_count,medicare_count,income,total_population
55091,5.7,0,1,2164.0,51470,7282
55093,5.0,0,1,7812.0,66772,41226
55097,3.9,12,1,14224.0,54620,70371
53063,5.6,113,4,107332.0,52159,490764
53067,4.7,72,2,62309.0,66113,269885
53069,6.9,0,0,1574.0,49508,4105
53077,8.1,52,4,43588.0,47470,248279
54003,3.3,20,1,22512.0,59480,111610
54005,6.6,0,1,6210.0,37955,23236
54009,5.4,0,0,6247.0,48835,23067
54011,4.1,88,2,22539.0,37816,96100
54015,12.4,0,0,2610.0,34242,8901
54019,7.2,3,2,11807.0,39297,44602
12037,3.1,0,1,3192.0,41267,11675
12057,2.9,432,8,243599.0,53742,1351087
12065,3.2,0,0,3750.0,47599,14085
8093,2.6,0,0,4046.0,61644,16900
8099,2.6,0,1,2577.0,41740,12084
8107,2.1,4,1,4177.0,67472,24359
8113,1.7,0,0,1181.0,62243,7804
8115,2.3,0,1,733.0,49583,2357
5125,3.1,16,1,26707.0,58985,116252
5131,3.7,69,2,27570.0,40932,127362
5139,6.0,16,1,9892.0,41106,40022
18171,3.0,0,1,1962.0,58950,8269
18177,3.6,30,1,16411.0,41813,66972
19005,5.1,0,1,3559.0,47895,13940
17059,4.6,0,0,1489.0,42450,5226
17067,4.3,0,1,4895.0,51460,18264
18061,3.3,4,1,8930.0,53897,39450
18073,4.7,4,1,7313.0,56574,33448
18081,2.6,6,1,28628.0,65272,149359
18083,3.2,30,1,8328.0,44837,37763
18089,5.1,188,9,96138.0,52559,488694
18107,3.0,5,1,8183.0,53075,38288
20121,3.8,0,1,6611.0,63501,32976
20129,2.5,0,1,626.0,43813,2931
20137,2.1,0,1,1234.0,50673,5527
20147,2.4,0,1,1519.0,46806,5446
20153,1.9,0,1,752.0,50893,2520
20161,2.6,8,2,8201.0,48428,75696
20175,3.1,8,1,2549.0,47535,22948
22065,7.3,0,1,2154.0,29424,11616
9001,4.4,173,6,162249.0,89773,947328
5021,5.9,0,1,4319.0,32219,15190
21119,7.4,0,0,4051.0,30503,15690
21127,8.1,6,1,4120.0,32703,15844
21133,9.0,6,1,6456.0,30293,23011
21141,4.1,6,1,6361.0,40982,26847
21149,4.4,0,0,2472.0,44242,9361
21155,3.3,6,1,4160.0,40005,19335
4015,5.5,80,4,69569.0,41567,204691
21163,4.8,0,0,5652.0,53732,28452
21177,7.1,6,1,7856.0,40037,31153
19051,2.8,0,1,1792.0,52390,8834
19065,4.5,0,2,5173.0,48412,20139
19071,2.1,0,1,1910.0,54430,6985
19083,3.6,0,1,4336.0,52207,17239
19085,2.7,0,1,3429.0,57558,14196
19097,4.5,0,1,4991.0,51806,19409
19109,2.6,0,1,4136.0,54868,15166
18111,5.0,0,0,3053.0,52193,14056
19119,2.3,0,1,2290.0,62012,11745
19133,3.4,0,1,2510.0,41598,8865
19143,2.4,0,1,1473.0,53604,6149
19167,2.5,0,4,6096.0,66022,34692
19173,1.8,0,0,1650.0,46825,6214
19185,2.6,0,1,1638.0,42434,6405
19191,4.0,0,1,4653.0,60788,20575
20001,3.6,0,1,3233.0,43031,12752
20007,2.7,0,2,1260.0,52075,4905
20011,4.8,0,0,3453.0,39379,14757
22071,4.2,111,5,66626.0,38721,388182
27075,4.2,0,1,3307.0,56078,10578
21161,5.9,5,1,4270.0,43082,17167
27123,2.9,135,4,96187.0,60301,537893
27135,5.0,0,1,3217.0,56273,15537
27151,5.5,0,2,2271.0,49556,9448
27155,5.1,0,1,981.0,48889,3357
27165,4.6,0,2,2386.0,50044,10936
27167,3.6,0,1,1521.0,52917,6398
27173,4.3,0,2,2539.0,54645,9930
28001,6.6,15,1,7604.0,30359,31583
28019,5.2,0,1,1899.0,34542,8360
28025,7.1,6,1,4670.0,34118,19990
28027,8.0,10,1,5330.0,28728,24296
19117,2.2,0,1,2200.0,47325,8600
37053,3.9,0,0,5319.0,65758,25247
37079,3.5,0,0,3886.0,36989,21059
37089,3.1,27,2,34702.0,50454,112156
42035,6.8,10,2,8880.0,47990,39321
42041,3.8,45,2,54334.0,65544,245801
20021,3.1,0,2,4830.0,41101,20501
28055,8.5,0,0,180.0,25609,1296
28063,13.7,0,1,1724.0,21779,7463
28071,3.8,24,1,8205.0,45019,52744
23001,3.8,54,2,25853.0,49538,107317
23003,6.2,12,4,20467.0,39021,68840
22087,4.5,8,1,6773.0,45265,45067
38015,2.9,72,2,17360.0,67308,92372
38021,2.0,0,1,1150.0,58357,5041
38023,1.4,0,1,551.0,54223,2378
38033,2.1,0,0,423.0,44018,1892
38049,5.2,0,0,1372.0,61788,5951
28047,4.9,57,3,40890.0,44684,200491
28105,4.9,6,1,7094.0,37348,49392
28111,6.7,0,0,3109.0,35374,12047
28113,5.9,28,2,9192.0,30949,39763
28125,9.1,0,1,1222.0,30033,4631
28131,5.8,0,1,4030.0,46283,17981
35047,5.8,8,1,7173.0,29168,28203
35051,8.3,0,1,4718.0,29690,11254
35055,6.2,6,1,9947.0,35314,32809
36001,3.7,120,3,62843.0,62293,308580
36005,4.7,270,6,216750.0,36593,1455846
42043,4.5,142,2,57631.0,57071,273329
42059,6.6,0,1,8616.0,50972,37338
42065,6.2,5,2,11472.0,45342,44258
42071,3.9,64,3,112176.0,61492,536494
42077,4.9,143,3,76697.0,60116,360774
42083,7.2,5,1,10422.0,45866,42070
41035,7.5,0,1,18316.0,42531,66018
23005,3.0,72,4,66493.0,65702,289173
45029,3.4,8,1,10261.0,34996,37581
45041,3.1,98,3,30247.0,43310,138537
45043,4.2,10,1,20633.0,46967,61065
47023,3.7,0,0,4047.0,43740,17097
38051,3.3,0,2,905.0,46012,2680
38057,5.6,0,1,1841.0,80337,8637
40067,3.3,0,1,1540.0,35933,6270
40077,7.2,0,1,2726.0,40539,10621
40079,4.3,4,1,11496.0,39253,49860
40089,5.0,0,1,7647.0,34250,33026
40095,3.3,0,1,4147.0,45671,16226
40105,2.9,0,1,2630.0,41282,10448
40113,3.4,0,2,10560.0,47683,47350
36015,4.7,20,2,20642.0,51251,86883
36023,5.8,12,1,9720.0,52451,48334
36025,5.4,0,3,11945.0,47921,45950
36029,4.7,262,6,200291.0,54006,923995
40139,1.7,0,1,2823.0,49469,21409
40151,1.6,0,1,1741.0,57097,9132
41001,5.3,2,1,5161.0,43765,15980
41007,3.9,4,2,10985.0,49828,38021
41041,4.6,0,2,17472.0,43291,47307
31139,2.6,0,2,1464.0,55417,7175
31145,2.8,0,1,2611.0,42882,10870
19029,3.3,4,1,3716.0,45637,13327
19037,3.9,0,1,2900.0,50688,12140
17083,3.7,4,1,5343.0,56320,22215
17085,4.4,0,1,6625.0,55532,22046
17097,3.7,108,6,115256.0,82613,704476
17115,4.3,65,2,25050.0,49052,107587
17119,3.0,58,5,55875.0,56536,266153
47039,6.0,0,1,3725.0,36427,11681
47043,3.2,6,1,11010.0,47398,51341
47053,4.7,3,1,12255.0,41315,49222
47055,4.9,6,1,7544.0,43925,29024
23013,4.9,8,1,12108.0,53117,39700
23019,4.5,51,4,38075.0,47886,152284
23025,6.6,4,2,13685.0,41549,50994
40121,4.2,15,1,10456.0,44941,44673
40129,3.2,0,1,788.0,51286,3734
24045,5.0,24,1,20141.0,54493,102014
25025,2.7,447,10,113056.0,61242,780685
26001,7.3,0,0,4646.0,39424,10413
41015,5.5,0,1,9827.0,42519,22377
41025,6.3,2,1,2133.0,39504,7195
26089,3.9,0,0,7493.0,62646,21564
26105,5.2,6,1,8652.0,45524,28800
28147,6.6,0,1,3526.0,31077,14670
42107,6.1,16,2,36282.0,47642,144287
42127,7.0,8,1,14692.0,52161,51656
42129,5.6,51,3,94909.0,56702,356835
49015,5.4,0,0,2091.0,51852,10410
49021,3.1,6,1,8432.0,45422,48504
49025,3.8,0,1,2024.0,50266,7246
47029,6.4,5,1,10571.0,32027,35262
23027,4.9,4,1,11241.0,50162,39280
31157,3.4,22,1,8502.0,47975,36509
31165,2.3,0,0,272.0,45375,1256
31175,2.9,0,1,1131.0,50270,4252
31177,2.8,0,1,4322.0,66485,20414
32001,3.6,0,1,6048.0,46914,24022
32003,3.9,535,19,369375.0,54882,2112436
26011,7.2,5,1,5033.0,39947,15238
30067,4.5,4,1,4305.0,44920,16001
30073,3.4,0,1,1435.0,44597,6081
30079,5.0,0,1,381.0,50850,1325
30081,5.0,5,1,13503.0,44733,41387
30089,7.9,0,1,4395.0,36445,11414
30095,3.4,0,1,2513.0,61998,9342
26109,3.8,0,0,6605.0,44480,23389
28149,5.3,22,1,10092.0,41635,47510
28161,5.2,0,1,3993.0,37647,12426
29005,3.1,0,1,1508.0,45259,5335
29011,3.3,4,1,3140.0,41184,11942
29019,2.5,110,2,27805.0,52005,174589
29025,3.8,0,0,2129.0,44975,9046
39085,5.0,27,1,53386.0,61137,229701
39095,5.0,251,7,87282.0,44820,433404
44009,3.7,17,2,31343.0,77862,126190
45011,4.6,0,0,4699.0,34035,21788
45013,2.8,24,2,53192.0,60603,179316
32015,3.7,0,1,955.0,79865,5887
32019,5.0,0,1,15263.0,50920,52303
32029,3.7,0,0,1468.0,63607,3891
39111,11.1,0,0,4031.0,43299,14239
39113,4.5,196,4,114313.0,47045,531987
39123,8.2,4,1,12158.0,56193,40769
39145,7.7,16,2,17244.0,38978,76871
39155,6.8,42,2,52550.0,45380,203341
30103,2.4,0,0,225.0,42454,790
30105,3.7,0,1,1921.0,55267,7561
38077,2.5,0,0,3286.0,60551,16333
38085,3.0,0,1,477.0,40795,4420
38099,3.5,0,2,2661.0,50781,10920
38105,2.1,0,2,3984.0,89874,32916
29031,3.2,32,2,16317.0,49554,78013
29037,3.5,9,2,21018.0,65352,101888
36047,3.5,318,12,386673.0,52782,2635121
36053,5.2,6,2,14907.0,58365,71760
36061,3.0,761,12,295301.0,79781,1653877
36067,4.3,152,3,96693.0,57271,467669
41045,4.5,8,1,6540.0,37112,30421
41055,5.1,0,0,558.0,42074,1635
41057,4.1,4,1,8571.0,45061,25840
41063,7.4,0,1,2506.0,44877,6864
41067,2.9,85,4,92779.0,74033,572071
29101,4.3,0,1,8558.0,50689,53941
29107,3.8,2,1,7646.0,52557,32655
29113,3.9,4,1,10512.0,58603,54800
29123,4.5,0,1,3422.0,37484,12226
29127,3.4,8,1,6967.0,44098,28703
39163,8.4,0,0,2790.0,41541,13142
47073,4.8,6,1,16582.0,38728,56402
47079,5.4,6,1,9512.0,40415,32263
47089,4.8,6,1,14359.0,45641,52887
47091,4.4,0,1,5306.0,32994,17846
47097,5.7,0,1,5569.0,35551,26497
47103,7.2,7,1,8554.0,42153,33543
47115,4.8,0,0,7479.0,45366,28355
47121,5.1,0,0,3428.0,39786,11830
47123,4.2,0,1,12876.0,36931,45698
47131,5.2,7,1,8169.0,38063,30659
39007,6.0,19,4,23820.0,43017,98622
48371,3.7,0,2,2386.0,50543,15804
48377,8.4,0,0,1927.0,26486,7191
48391,3.7,0,1,1854.0,50338,7293
48401,4.0,0,1,10488.0,49270,53026
48407,4.7,0,0,6729.0,43421,27436
48409,5.5,0,1,13810.0,53332,66867
36079,4.0,10,1,19913.0,99608,99464
48443,3.8,0,0,269.0,26063,721
48461,3.3,0,2,600.0,52750,3575
48465,4.0,7,1,8859.0,44609,48976
48473,3.8,0,0,7221.0,53506,48443
48479,3.9,56,2,33223.0,40442,269624
48487,4.0,0,1,2863.0,43913,12972
48495,3.3,0,1,1150.0,55000,7777
48501,3.5,0,1,1255.0,62500,8481
48505,6.2,0,0,2045.0,34550,14415
49003,2.9,0,2,8620.0,58835,52182
48005,4.2,29,2,18085.0,46472,87700
