countyFIPS,unemp,#ICU_beds,#Hospitals,#EligibleforMedicare2018
10003,3.8,119,2,102603.0
12009,3.1,159,7,160561.0
12075,3.5,0,1,12577.0
5031,3.0,66,2,19618.0
5035,4.4,0,1,9587.0
5041,5.2,0,2,3046.0
5057,4.3,8,1,4924.0
5063,4.4,12,1,8981.0
5069,5.9,34,1,16277.0
5075,4.7,0,1,4653.0
5077,6.2,0,0,2162.0
4025,4.3,39,2,84609.0
5005,4.4,17,2,16055.0
5007,2.8,30,3,44683.0
16073,3.8,0,0,2519.0
16085,4.3,0,2,3117.0
16087,4.6,0,1,3128.0
17013,3.8,0,0,1300.0
17021,4.3,0,2,8085.0
17027,2.7,4,1,7728.0
16031,2.4,6,1,4204.0
16035,6.7,0,1,2925.0
16037,4.5,0,0,1382.0
16049,5.1,0,2,4577.0
16059,6.1,0,1,2728.0
18023,2.7,0,1,6649.0
12021,2.9,73,2,103980.0
12033,3.2,120,3,72412.0
15003,2.5,148,8,185407.0
16007,3.6,0,1,1506.0
16011,2.9,5,2,8333.0
16013,3.1,0,1,4927.0
5105,4.3,0,0,2944.0
5107,7.2,6,1,4583.0
5119,3.8,209,8,80814.0
17031,3.4,1606,46,845162.0
18123,3.4,4,1,4267.0
18129,2.8,0,0,5669.0
18143,3.2,4,1,5728.0
18147,4.0,0,0,4720.0
18155,3.6,0,0,1892.0
18163,3.1,154,2,38346.0
18029,3.9,8,1,11200.0
18037,2.4,26,1,8950.0
18039,2.7,35,2,35638.0
13135,3.1,82,3,111883.0
13145,3.2,0,0,7121.0
13151,3.6,40,1,35479.0
13161,4.7,4,1,2915.0
13167,4.1,0,0,1902.0
13177,3.1,0,0,5003.0
13179,3.9,0,1,7716.0
20107,7.1,0,0,2594.0
20117,2.9,0,1,2559.0
17149,4.2,0,1,3860.0
17157,3.0,0,3,7020.0
17161,4.3,58,2,31841.0
17171,4.7,0,0,1113.0
17173,3.3,0,1,5403.0
17181,5.2,0,1,4744.0
17185,2.9,4,1,2835.0
17193,3.1,0,0,3914.0
